transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
rotation,float32,,,2.9845130209103035,48,8.221795772140978e-05,1.856250418714346e-05,0.00017591348468028815,0.0004988100913109455,0.000495222978938952,0.005057023884546652
rotation,float32,,,3.0630528372500483,48,8.00192903201958e-05,1.9605408305582483e-05,0.00020074875260987738,0.00036972313236371376,0.0006644956349396138,0.010129405237350397
rotation,float32,,,3.141592653589793,48,2.619647267005238e-13,7.475729902434072e-15,6.193281023692355e-13,3.720999015936411e-12,1.6978999225110887e-12,2.3087309841685055e-11
boost,float64,0.0,0.0,,48,0.0,0.0,0.0,0.0,0.0,0.0
boost,float64,0.02475,0.024755055498840526,,48,9.052735592746111e-13,1.1004114493881223e-13,2.8333571029784463e-12,5.324318896415656e-12,6.251633614719661e-12,4.997957603336545e-11
boost,float64,0.0495,0.04954048866610192,,48,7.798663717600134e-13,9.491966889401402e-14,2.397104845230572e-12,3.8637764858859205e-12,4.484747931817375e-12,4.196465397399152e-11
boost,float64,0.07425000000000001,0.07438690143069122,,48,8.304875550564034e-13,9.604427324228656e-14,2.474563654185014e-12,5.087583493920718e-12,5.6111093780601235e-12,4.226308192301076e-11
boost,float64,0.099,0.09932534839764173,,48,7.63561219461211e-13,8.509136388109296e-14,2.142479647977926e-12,4.757713951162627e-12,4.45266624497324e-12,2.5906388145813253e-11
boost,float64,0.12375,0.1243875737185151,,48,8.036523786814528e-13,5.985376864765171e-14,2.5260966969696755e-12,4.586715424515269e-12,4.821098670744946e-12,4.0884629015636165e-11
boost,float64,0.14850000000000002,0.149606261013205,,48,7.980030009904293e-13,7.605243591191862e-14,2.2269922941091336e-12,4.9287432344305336e-12,5.850126517474112e-12,6.923528417246416e-11
boost,float64,0.17325000000000002,0.17501530140631247,,48,9.320865749380925e-13,9.731046209030266e-14,2.141469841308752e-12,6.200751846343947e-12,5.754300248100863e-12,5.806555236631539e-11
boost,float64,0.198,0.20065008540444007,,48,8.436266832727881e-13,8.47306355768188e-14,1.934138689754197e-12,9.56992713493519e-12,5.354913561184116e-12,5.658029600397185e-11
boost,float64,0.22275,0.2265478252403017,,48,1.0061840027892732e-12,7.17567027046962e-14,2.963097896154081e-12,9.331152709590886e-12,7.7085380902527e-12,8.664358119858662e-11
boost,float64,0.2475,0.2527479155013215,,48,6.943357282937803e-13,8.894435449255922e-14,1.902759302700027e-12,3.858297717148721e-12,5.536633362427749e-12,6.66346977595822e-11
boost,float64,0.27225,0.2792923414216047,,48,8.235146771960723e-13,7.435126258633096e-14,2.525777725191083e-12,5.340712468513805e-12,4.811057657585123e-12,4.82458517581108e-11
