transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
rotation,float32,,,2.199114857512855,48,0.000582838342458551,3.32884784171815e-05,0.0010710165401938997,0.007346654917698645,0.003533672412002165,0.052066818261502945
rotation,float32,,,2.356194490192345,48,0.00036677055665949805,2.2291286462592895e-05,0.0005730255064489944,0.0051626166884371485,0.002185459204629597,0.04113088098893769
rotation,float32,,,2.5132741228718345,48,0.0003513702164125938,2.4818927994586877e-05,0.0006929112069862656,0.003929459005647313,0.002601116802899941,0.039896321405432644
rotation,float32,,,2.670353755551324,48,0.0005388798399609871,3.281310393116924e-05,0.000557202683108597,0.012365959394994972,0.002475934935898257,0.03540026900236626
rotation,float32,,,2.827433388230814,48,0.0011530873361280793,2.4764024885936836e-05,0.0005627878732848571,0.039663996569696255,0.0037380873236530724,0.06510181865134612
rotation,float32,,,2.9845130209103035,48,0.0005877709002179742,3.153991388158768e-05,0.0007360547020762936,0.011597750874980538,0.004159665390124533,0.13277247104570833
rotation,float32,,,3.141592653589793,48,1.146589178700657e-12,1.0047432688629918e-14,7.718482356347115e-13,4.063242941884319e-11,3.1698330303179625e-12,6.644462757776637e-11
rotation,float32,,,3.2986722862692828,48,0.00047725607474951426,2.8543425695093024e-05,0.0009827961857266265,0.007377323342421301,0.002458158583785918,0.03584835752698545
rotation,float32,,,3.4557519189487724,48,0.00039281310422250595,2.5693200047098894e-05,0.0007937206102289051,0.006831290381275013,0.001477338317490018,0.016469286426342933
rotation,float32,,,3.612831551628262,48,0.0005300673006452804,3.0993836797914164e-05,0.001068053693230527,0.006081191206725722,0.0035249028078148032,0.05068583459215148
rotation,float32,,,3.7699111843077517,48,0.000801893583617662,3.429091776946134e-05,0.0006570818969187251,0.017632847553568625,0.0032803063581697735,0.06472939379982812
rotation,float32,,,3.9269908169872414,48,0.0008265265290382163,3.0895606593081505e-05,0.0010001414471843305,0.017380750690661983,0.003994198970368258,0.06992163069900137
rotation,float32,,,4.084070449666731,48,0.0005721537109947115,3.4129773001494226e-05,0.0013330660342427316,0.006157755303355639,0.003577786998875432,0.060468519162217405
rotation,float32,,,4.241150082346221,48,0.0006356777352524795,3.0274065518718243e-05,0.0013586256209567103,0.01359513185731825,0.0024747159894677397,0.026224647924797395
rotation,float32,,,4.39822971502571,48,0.001054693696822153,2.6746860202316446e-05,0.0007555931141198588,0.032719511458639876,0.003284505874155253,0.05315025507680282
rotation,float32,,,4.5553093477052,48,0.0006190793509418048,2.9403396661050864e-05,0.0008232173369471356,0.01006744715466882,0.0031084724361711328,0.06818232539628433
rotation,float32,,,4.71238898038469,48,0.0005233833450032912,1.9476949713676206e-05,0.001028973720504271,0.012252918028334406,0.004148356228334702,0.13673655127724338
rotation,float32,,,4.869468613064179,48,0.0004787262512441966,3.0329361286944013e-05,0.0009869768357193276,0.00592146289734843,0.0030806185814643374,0.06836524578102399
